idPelicula,titulo,anioLanzamiento,resumen
1011,The Imitation Game,2014,"Película sobre el matemático británico Alan Turing, famoso por haber descifrado los códigos secretos nazis contenidos en la máquina Enigma. Su invento determinó el devenir de la Segunda Guerra Mundial (1939-1945) en favor de los Aliados. Lejos de ser admirado como un héroe, Turing fue acusado y juzgado por su condición de homosexual en 1952."
1012,The Society of the Snow,2024,"En 1972, un vuelo procedente de Uruguay se estrella en un glaciar en los Andes. Solo 29 de sus 45 pasajeros sobreviven al accidente. Atrapados en uno de los entornos más hostiles del planeta, se ven obligados a luchar por sus vidas."
1013,The Pianist,2002,"Un brillante pianista polaco de origen judío, vive con su familia en el ghetto de Varsovia. Cuando, en 1939, los alemanes invaden Polonia, consigue evitar la deportación gracias a la ayuda de algunos amigos. Pero tendrá que vivir escondido y completamente aislado durante mucho tiempo, y para sobrevivir tendrá que afrontar constantes peligros."
1014,Whiplash,2014,"Andrew Neiman es un joven y ambicioso baterista de jazz. Marcado por el fracaso de la carrera literaria de su padre, está obsesionado con alcanzar la cima dentro del elitista conservatorio de música de la Costa Este en el que estudia."
1015,Lady Bird,2017,"Christine McPherson, apodada a sí misma como Lady Bird, es una peculiar joven de diecisiete años cuyo mayor deseo es conseguir plaza en una importante universidad para dejar atrás su vida en los suburbios. En su último año de instituto, sin embargo, tendrá que afrontar contratiempos académicos y sentimentales con sus compañeros de instituto mientras trata de sobrellevar la complicada relación con su madre."
1016,My Neighbor Totoro,1988,"Esta historia animada del director Hayao Miyazaki sigue a las estudiantes y hermanas Satsuke y Mei mientras se establecen en su casa de campo con su padre y esperan a que su madre se recupere de una enfermedad en un hospital del área. Cuando las hermanas exploran su nueva casa, descubren y hacen amistad con unos duendes juguetones, y en el bosque cercano encuentran a una enorme criatura conocida como Totoro."
1017,Howl's Moving Castle,2004,"Sophie, una joven de 18 años, trabaja sin descanso en la tienda de sombreros de su difunto padre. En uno de sus poco frecuentes paseos por la ciudad, Sophie conoce al mago Howl, un joven con poderes extraordinarios y extremadamente seductor."
1018,A Whisker Away,2020,"La línea entre humanos y animales comienza a desdibujarse cuando una chica peculiar se transforma en una gata para llamar la atención de su enamorado."
1019,Everything Everywhere All At Once,2022,"Una heroína inesperada debe usar sus nuevos poderes para luchar contra los desconcertantes peligros del multiverso y así lograr salvar su mundo."
1020,The Intern,2015,"Ben Whittaker, un jubilado viudo de 70 años, tiene demasiado tiempo libre y muy pocas cosas con las que llenarlo. Cuando ve una oferta de trabajo para 'becarios sénior' en una empresa que opera en internet, no duda en presentarse. Desde el minuto uno, Ben comienza a ganarse el cariño y respeto de sus compañeros y de su jefa, Jules Ostin."