idSerie,titulo,añoLanzamiento,resumen
1001,Brooklyn Nine-Nine,2013,"Jake Peralta, un inmaduro pero talentoso detective en el distrito 99 de Brooklyn entra en conflicto inmediato con el nuevo oficial al mando, el serio y severo capitán Ray Holt."
1002,Modern Family,2009,"Tres familias diferentes, pero relacionadas, se enfrentan a pruebas y tribulaciones de formas singularmente cómicas."
1003,The Office,2005,"Un falso documental sobre un grupo de trabajadores de oficina típicos, donde la jornada laboral consiste en choques de ego, comportamiento inapropiado y tedio."
1004,The Hijacking Of Flight 601,2024,"Dos individuos armados y encapuchados secuestran y amenazan con hacer estallar el vuelo 601 a menos que el gobierno colombiano libere a 50 presos políticos y les pague un cuantioso rescate en efectivo."
1005,Black Mirror,2011,"Explora un multiverso retorcido y tecnológico donde chocan las mayores innovaciones de la humanidad con los instintos más oscuros."
1006,How To Get Away With Murder,2014,"Un grupo de ambiciosos estudiantes de derecho y su brillante profesora de derecho penal se ven envueltos en una retorcida trama de asesinato que promete cambiar el curso de sus vidas."
1007,The Queen's Gambit,2020,"Ambientada en la Guerra Fría; una huérfana llamada Beth Harmon con un don para el ajedrez lucha contra las adicciones mientras intenta ser la mejor jugadora del mundo."
1008,Inventing Anna,2022,"¿Empresaria audaz o estafadora? Un periodista persigue la historia de Anna Delvey, quien convenció a la élite de Nueva York de que era una heredera alemana."
1009,"Love, Death & Robots",2019,"Colección de cortos de animación de diversos géneros, como la ciencia ficción, la fantasía, el terror y la comedia."
1010,Alice In Borderland,2020,"Arisu, un joven desempleado, apático y obsesionado con los videojuegos, se encuentra de repente con sus amigos en una versión de Tokio misteriosamente desierta."